"filename" "beta1" "beta3" "lambda1" "lambda2" "lambda3" "diffBeta1" "diffBeta3" "diffLambda1" "diffLambda3" "pi1" "pi2" "pi3" "init_beta1" "init_beta2" "init_beta3" "init_pi1" "init_pi2" "init_pi3" "tempering" "Qlike" "Q1" "Q2" "Q3" "bpBase" "bp1" "bp3"
"FRT_censord" 0.8927322511592 4.09098688559657 0.0228597641375216 0.0101848140449734 5.53768963851296e-11 1.30776623734619e-05 -5.1581834981107e-07 6.70574706873595e-14 4.19020652770996e-05 0.310358602351395 0.156204233264383 0.533437164384222 0.5 1 25 0.333333333333333 0.333333333333333 0.333333333333333 0.993033333333333 -157.29559714995 -47.7732752562376 -24.928955061749 -54.9427274065719 9800 1254400 1254400
"FRT_censord" 0.901523711842423 4.04234047073905 0.0215499143857458 0.0102729363460907 7.36015656292828e-11 1.4276350427167e-05 -5.18772566238113e-07 9.32587340685131e-15 -2.8759241104126e-06 0.351737122014791 0.109717249474374 0.538545628510836 0.5 1 25 0.333333333333333 0.333333333333333 0.333333333333333 0.996466666666667 -155.88115100678 -54.3171520932335 -17.5038167130722 -55.7619241297691 9900 1267200 1267200
"FRT_censord" 0.916027906203094 3.98497949768012 0.0192117498722735 0.0103203098664461 1.02926941960679e-10 1.69016380908715e-05 -5.23454033896087e-07 4.21884749357559e-14 -4.76092100143433e-06 0.455701688256028 4.48115000580385e-07 0.544297863628971 0.5 1 25 0.333333333333333 0.333333333333333 0.333333333333333 0.9999 -148.248650786863 -70.8662560731202 -7.14815478028561e-05 -56.7056009720417 10000 1280000 1280000
"FRT_censord" 0.862350746308566 1.00000364213672 0.00937824404266397 0.00399921577991643 0.003999125591609 7.45266053314708e-06 -0.335161257450189 1.13242748511766e-14 -2.30926389122033e-14 0.325419371266823 0.337290186921057 0.33729044181212 0.2 1 5 0.333333333333333 0.333333333333333 0.333333333333333 0.66 -175.520067710699 -46.8627507660708 -47.8515893211409 -47.8516035720691 100 1638400 1638400
"FRT_censord" 0.862350746308566 1.00000364213672 0.00937824404266397 0.00399921577991643 0.003999125591609 7.45266053314708e-06 -0.335161257450189 1.13242748511766e-14 -2.30926389122033e-14 0.325419371266823 0.337290186921057 0.33729044181212 0.2 1 5 0.333333333333333 0.333333333333333 0.333333333333333 0.663433333333333 -175.520067710699 -46.8627507660708 -47.8515893211409 -47.8516035720691 200 1638400 1638400
"FRT_censord" 0.861054541842557 1.00000498946158 0.0094608429386348 0.00399585189757512 0.00399572825064759 9.82373254743152e-06 -0.326208377216794 3.24185123190546e-14 -5.55111512312578e-15 0.325246904179164 0.337376369622122 0.337376726198714 0.2 1 5 0.333333333333333 0.333333333333333 0.333333333333333 0.666866666666667 -175.516112751516 -46.8490470525659 -47.856554531034 -47.856574530431 300 1228800 1228800
"FRT_censord" 0.860399928857499 1.00000379505692 0.00950288499262766 0.0039941426295084 0.00399404854559821 7.3255235548686e-06 -0.321655700752856 3.39728245535298e-14 -7.32747196252603e-14 0.325159571038875 0.337420077880846 0.337420351080279 0.2 1 5 0.333333333333333 0.333333333333333 0.333333333333333 0.6703 -175.514082505077 -46.8421146362035 -47.8590562051299 -47.8590714788321 400 1638400 1638400
"FRT_censord" 0.859737796241964 1.00000616012125 0.00954562259617913 0.00399241658175783 0.00399226380857806 1.16530240177326e-05 -0.317059603675155 -5.7065463465733e-14 2.35145236615608e-13 0.325071173360229 0.3374641899487 0.337464636691071 0.2 1 5 0.333333333333333 0.333333333333333 0.333333333333333 0.673733333333333 -175.512010447641 -46.8350981511393 -47.8615729506563 -47.8615978511076 500 1024000 1024000
"FRT_censord" 0.859072613737578 1.00000520986722 0.00958879229831873 0.00399067117655987 0.00399054192146996 9.65461273239043e-06 -0.312407993864326 4.9737991503207e-14 1.49880108324396e-13 0.324982160893797 0.337508729243918 0.337509109862285 0.2 1 5 0.333333333333333 0.333333333333333 0.333333333333333 0.677166666666667 -175.509904011004 -46.8280386563977 -47.8641015825552 -47.8641227335069 600 1228800 1228800
"FRT_censord" 0.858402010707414 1.00000453383322 0.00963254418383062 0.00398890749111191 0.00398879496656224 8.22722786608665e-06 -0.30770635488696 2.97539770599542e-14 -5.79536418854332e-14 0.324892287149472 0.337553689573102 0.337554023277426 0.2 1 5 0.333333333333333 0.333333333333333 0.333333333333333 0.6806 -175.507758187689 -46.8209136355461 -47.8666437748343 -47.8666622662895 700 1433600 1433600
"FRT_censord" 0.857726033565379 1.00000402933701 0.00967688264420754 0.00398712531810895 0.00398702527808812 7.156741247627e-06 -0.302953931417221 -7.37188088351104e-14 3.05977465586693e-13 0.324801549492748 0.337599075852548 0.337599374654704 0.2 1 5 0.333333333333333 0.333333333333333 0.333333333333333 0.684033333333333 -175.505572317745 -46.8137227480781 -47.8691995899516 -47.8692161025272 800 1638400 1638400
"FRT_censord" 0.857044699519204 1.00000363934016 0.00972181394728497 0.00398532446463399 0.00398523407492356 6.32419099133585e-06 -0.298150047286498 4.77395900588817e-14 2.89324120217316e-13 0.324709943783726 0.337644892145257 0.337645164071016 0.2 1 5 0.333333333333333 0.333333333333333 0.333333333333333 0.687466666666667 -175.503345678887 -46.8064655886349 -47.8717690008844 -47.8717839894967 900 1843200 1843200
"FRT_censord" 0.856355880201245 1.0000066591739 0.00976747857856959 0.00398350598363142 0.00398334053384459 1.13162113137832e-05 -0.293298929702253 -1.00586206031039e-13 8.77076189453874e-14 0.3246172401474 0.337691129236615 0.337691630615985 0.2 1 5 0.333333333333333 0.333333333333333 0.333333333333333 0.6909 -175.501073115426 -46.7991212277363 -47.8743532217236 -47.8743807920077 1000 1024000 1024000
"FRT_censord" 0.855664003158429 1.0000061568371 0.00981360812819192 0.00398166713942805 0.00398151411687126 1.02265345489627e-05 -0.288389755905278 4.08562073062058e-14 -2.12940776123105e-13 0.32452389592945 0.337737818481734 0.337738285588815 0.2 1 5 0.333333333333333 0.333333333333333 0.333333333333333 0.694333333333333 -175.498762884817 -46.7917311381751 -47.8769497080842 -47.8769753334365 1100 1126400 1126400
"FRT_censord" 0.854966731472194 1.00000574259252 0.00986035553959866 0.00397980908892237 0.00397966631287346 9.31855691987948e-06 -0.283427355580933 1.15241149956091e-13 4.27435864480685e-13 0.324429659135011 0.337784950901547 0.337785389963442 0.2 1 5 0.333333333333333 0.333333333333333 0.333333333333333 0.697766666666667 -175.496409475387 -46.7842722719849 -47.8795599521224 -47.879583987621 1200 1228800 1228800
"FRT_censord" 0.854264062491506 1.00000539635899 0.00990772888478099 0.00397793165411239 0.00397779744086799 8.55035180080677e-06 -0.278411116140639 -1.03028696685215e-13 1.85185200507476e-13 0.324334522860822 0.337832530658268 0.33783294648091 0.2 1 5 0.333333333333333 0.333333333333333 0.333333333333333 0.7012 -175.494012068938 -46.7767439225747 -47.8821839607022 -47.8822066792567 1300 1331200 1331200
"FRT_censord" 0.853555990943546 1.00000510385256 0.00995573655286933 0.00397603466012154 0.00397590767950399 7.891971407048e-06 -0.273340436028981 2.70894418008538e-14 7.46069872548105e-14 0.32423847918641 0.337880562209627 0.337880958603964 0.2 1 5 0.333333333333333 0.333333333333333 0.333333333333333 0.704633333333333 -175.491569826234 -46.7691452481804 -47.8848217858015 -47.8848434040166 1400 1433600 1433600
"FRT_censord" 0.852842510453828 1.00000485463053 0.0100043871609233 0.00397411793417146 0.00397399711444987 7.32145381476812e-06 -0.268214719736136 -8.41549052665869e-14 6.66133814775094e-15 0.324141520467886 0.337929049740429 0.337929429791685 0.2 1 5 0.333333333333333 0.333333333333333 0.333333333333333 0.708066666666667 -175.489081890357 -46.7614754504766 -47.8874734414068 -47.8874941348622 1500 1536000 1536000
"FRT_censord" 0.852123613930704 1.0000046408678 0.0100536895353972 0.00397218130610111 0.00397206576920326 6.82232750648382e-06 -0.263033378690494 -2.95319324550292e-14 -8.03801469828613e-14 0.32404363694318 0.337977998403266 0.337978364653555 0.2 1 5 0.333333333333333 0.333333333333333 0.333333333333333 0.7115 -175.486547384836 -46.7537334268705 -47.8901390804307 -47.8901589939804 1600 1638400 1638400
"FRT_censord" 0.851399294802617 1.00000445660353 0.010103652636295 0.00397022460705608 0.00397011362242293 6.38199657032601e-06 -0.257795825960798 2.33146835171283e-14 -2.88213897192691e-13 0.32394482038303 0.338027412518558 0.338027767098412 0.2 1 5 0.333333333333333 0.333333333333333 0.333333333333333 0.714933333333333 -175.483965418923 -46.7459182905149 -47.8928187364752 -47.8928379917721 1700 1740800 1740800
"FRT_censord" 0.850669547090109 1.0000042972948 0.0101542855556894 0.00396824767014197 0.00396814061961904 5.99066417095173e-06 -0.252501477986442 -3.03090885722668e-14 1.77191594730175e-13 0.323845062391217 0.338077296440139 0.338077641168644 0.2 1 5 0.333333333333333 0.333333333333333 0.333333333333333 0.718366666666667 -175.481335085991 -46.7380291244461 -47.8955124479483 -47.8955311490986 1800 1843200 1843200
"FRT_censord" 0.849934365295743 1.00000415926691 0.0102055975286074 0.00396625033060516 0.00396614668696965 5.64059589436283e-06 -0.24714975517054 -9.43689570931383e-15 -5.15143483426073e-14 0.323744352583471 0.338127655485947 0.338127991930582 0.2 1 5 0.333333333333333 0.333333333333333 0.333333333333333 0.7218 -175.47865546122 -46.7300647195239 -47.898220390257 -47.8982386272313 1900 1945600 1945600
"FRT_censord" 0.849191265571924 1.0000080792994 0.0102577631497193 0.00396423409782318 0.00396403271437952 1.06510068036414e-05 -0.241744434393375 -3.35287353436797e-14 -9.63673585374636e-14 0.323642409458033 0.338178465723211 0.338179124818756 0.2 1 5 0.333333333333333 0.333333333333333 0.333333333333333 0.725233333333333 -175.475919252363 -46.7219996961775 -47.9009428900389 -47.9009785975219 2000 1024000 1024000
"FRT_censord" 0.848445279137956 1.00000787265486 0.0103104573957841 0.00396219544039369 0.0039619991503379 1.0081177336474e-05 -0.236275971114836 -1.88737914186277e-15 5.15143483426073e-14 0.32353977645583 0.338229787915585 0.338230435628585 0.2 1 5 0.333333333333333 0.333333333333333 0.333333333333333 0.728666666666667 -175.473138272988 -46.7138824678199 -47.9036793298402 -47.9037144055343 2100 1075200 1075200
"FRT_censord" 0.847693840675937 1.00000769484103 0.0103638595278274 0.00396013590266915 0.00395994399115869 9.56328428003417e-06 -0.230748430399473 -2.30926389122033e-14 2.22044604925031e-15 0.323436161939118 0.338281599737847 0.338282238323034 0.2 1 5 0.333333333333333 0.333333333333333 0.333333333333333 0.7321 -175.470305120821 -46.7056865714818 -47.906430333031 -47.9064649105887 2200 1126400 1126400
"FRT_censord" 0.846936951275328 1.00000754289964 0.0104179790723287 0.00395805532741296 0.00395786715272528 9.09055709286122e-06 -0.225161239381833 2.83106871279415e-14 3.1685765122802e-13 0.323331556586163 0.338333905960783 0.338334537453054 0.2 1 5 0.333333333333333 0.333333333333333 0.333333333333333 0.735533333333333 -175.467418813682 -46.6974109018185 -47.9091959959532 -47.9092301942625 2300 1177600 1177600
"FRT_censord" 0.846174613395489 1.0000074145859 0.0104728256466942 0.00395595355994846 0.00395576853578344 8.65735368904552e-06 -0.219513829217085 8.06021915877864e-14 1.26565424807268e-13 0.323225950908673 0.338386711395679 0.338387337695647 0.2 1 5 0.333333333333333 0.333333333333333 0.333333333333333 0.738966666666667 -175.464478353937 -46.6890543180091 -47.911976421775 -47.9120103525069 2400 1228800 1228800
"FRT_censord" 0.845406830476771 1.00000730803937 0.0105284089885394 0.00395383044813459 0.0039536480341047 8.25893462774729e-06 -0.213805635342915 8.54871728961371e-14 -1.60760293965723e-13 0.323119333395899 0.338440021850462 0.338440644753639 0.2 1 5 0.333333333333333 0.333333333333333 0.333333333333333 0.7424 -175.461482725355 -46.6806153784372 -47.9147718557583 -47.9148056251645 2500 1280000 1280000
"FRT_censord" 0.844633608086681 1.00000722184171 0.0105847388765009 0.00395168584249963 0.00395150553316214 7.89128971234732e-06 -0.208036096828287 4.01900734914307e-14 -1.97619698383278e-13 0.323011694026359 0.338493842371401 0.33849446360224 0.2 1 5 0.333333333333333 0.333333333333333 0.333333333333333 0.745833333333333 -175.458430899449 -46.6720928396171 -47.9175824365113 -47.917616147358 2600 1331200 1331200
"FRT_censord" 0.843854953518856 1.0000071549226 0.0106418251589594 0.00394951959642667 0.0039493409126496 7.55100283811316e-06 -0.202204657230787 -3.88578058618805e-15 1.08801856413265e-13 0.322903022595061 0.338548178082561 0.338548799322378 0.2 1 5 0.333333333333333 0.333333333333333 0.333333333333333 0.749266666666667 -175.455321832639 -46.6634854173691 -47.9204083152689 -47.9204420684801 2700 1382400 1382400
"FRT_censord" 0.843070875202091 1.00000710652678 0.0106996777976326 0.00394733156620954 0.00394715404734707 7.23514583711449e-06 -0.196310765081037 1.48769885299771e-14 5.77315972805081e-14 0.322793306796529 0.338603035144297 0.338603658059174 0.2 1 5 0.333333333333333 0.333333333333333 0.333333333333333 0.7527 -175.452154462394 -46.6547915140503 -47.9232497916663 -47.9232836881084 2800 1433600 1433600
"FRT_censord" 0.84228138398025 1.00000707618984 0.0107583067764901 0.00394512161132937 0.00394494480799271 6.9411945062825e-06 -0.190353873729585 -1.40998324127395e-14 1.68309810533174e-13 0.322682535798117 0.338658418968212 0.338659045233671 0.2 1 5 0.333333333333333 0.333333333333333 0.333333333333333 0.756133333333333 -175.448927714354 -46.6460097253044 -47.9261070616087 -47.9261412035041 2900 1484800 1484800
"FRT_censord" 0.841486492611004 1.00000706372225 0.0108177221376169 0.0039428895945818 0.00394271306179909 6.66696119822063e-06 -0.184333442038955 1.88737914186277e-14 -1.50990331349021e-14 0.322570698531958 0.338714335070809 0.338714966397234 0.2 1 5 0.333333333333333 0.333333333333333 0.333333333333333 0.759566666666667 -175.445640499101 -46.637138596827 -47.9289803384085 -47.9290148308873 3000 1536000 1536000
"FRT_censord" 0.840686215096166 1.00000706920299 0.0108779340308979 0.00394063538207973 0.00394045867260754 6.41054052152867e-06 -0.178248934693123 2.07056594092592e-14 1.79412040779425e-13 0.322457781712523 0.338770790063231 0.338771428224246 0.2 1 5 0.333333333333333 0.333333333333333 0.333333333333333 0.763 -175.442291707899 -46.6281763426087 -47.9318699928287 -47.9319049458588 3100 1587200 1587200
"FRT_censord" 0.839880568274995 1.00000709298439 0.0109389525973471 0.00393835884375609 0.00393818150126272 6.17026527294229e-06 -0.172099822631381 -1.6153745008296e-14 -9.9031893796564e-14 0.322343774107886 0.338827789516866 0.338828436375247 0.2 1 5 0.333333333333333 0.333333333333333 0.333333333333333 0.766433333333333 -175.438880221832 -46.6191214502637 -47.934776252127 -47.9348117819694 3200 1638400 1638400
"FRT_censord" 0.839069570108416 1.00000713570978 0.0110007880954151 0.00393605985313078 0.00393588140493162 5.94467034176205e-06 -0.165885583259708 9.59232693276135e-14 -1.06581410364015e-14 0.322228661743716 0.338885340357129 0.338885997899156 0.2 1 5 0.333333333333333 0.333333333333333 0.333333333333333 0.769866666666667 -175.43540490143 -46.6099720003658 -47.9376995382721 -47.9377357698993 3300 1689600 1689600
"FRT_censord" 0.838253241199729 1.00000719834509 0.0110634507883561 0.00393373828789523 0.0039335582368911 5.73246292390195e-06 -0.15960570118304 7.38298311375729e-15 3.77475828372553e-14 0.322112431907571 0.338943448861271 0.338944119231157 0.2 1 5 0.333333333333333 0.333333333333333 0.333333333333333 0.7733 -175.43186459547 -46.6007262337181 -47.9406401859402 -47.9406772551132 3400 1740800 1740800
"FRT_censord" 0.837431604210324 1.00000728222524 0.0111269509867355 0.00393139402995558 0.00393121184540513 5.53249808632472e-06 -0.153259668542525 2.29816166097407e-14 -2.8421709430404e-13 0.321995071492939 0.339002121482344 0.339002807024718 0.2 1 5 0.333333333333333 0.333333333333333 0.333333333333333 0.776733333333333 -175.428258137371 -46.5913823161579 -47.9435985592217 -47.9436366152221 3500 1792000 1792000
"FRT_censord" 0.836604683110117 1.00000738911623 0.0111912991052091 0.00392902696541024 0.00392884207214221 5.34375795524511e-06 -0.146846985072933 -3.29181126801359e-14 -3.06865644006393e-13 0.321876565044084 0.339061365820672 0.339062069135244 0.2 1 5 0.333333333333333 0.333333333333333 0.333333333333333 0.780166666666667 -175.424584340487 -46.5819380611422 -47.9465751889807 -47.9466143984318 3600 1843200 1843200
"FRT_censord" 0.835772504554379 1.00000752129532 0.0112565055579912 0.00392663698519549 0.00392644875080787 5.16533480521275e-06 -0.140367159145548 -1.90403248723214e-14 8.61533067109121e-14 0.32175689830198 0.339121188848451 0.339121912849569 0.2 1 5 0.333333333333333 0.333333333333333 0.333333333333333 0.7836 -175.420842006274 -46.5723914319757 -47.9495705231953 -47.9496110737673 3700 1894400 1894400
"FRT_censord" 0.834935097185425 1.00000768170531 0.011322580810695 0.00392422398515318 0.00392403170334423 4.99641637929926e-06 -0.133819707984088 -2.79221090693227e-14 -2.26929586233382e-13 0.32163605645768 0.339181597772468 0.339182345769853 0.2 1 5 0.333333333333333 0.333333333333333 0.333333333333333 0.787033333333333 -175.417029920063 -46.5627402942584 -47.9525850492066 -47.9526271548588 3800 1945600 1945600
"FRT_censord" 0.834092490840647 1.00000787397717 0.0113895354415217 0.00392178786596585 0.00392159073928974 4.8362737246066e-06 -0.127204157495207 -3.05588887528074e-14 5.6399329650958e-14 0.321514022116275 0.339242601045615 0.339243376838111 0.2 1 5 0.333333333333333 0.333333333333333 0.333333333333333 0.790466666666667 -175.413146845957 -46.5529821269218 -47.9556194366126 -47.955663344254 3900 1996800 1996800
